Column3;Column4;Column5;Column6;Column7;Column8
 -1.383118177707642E+07; -1.947428096717992E+08;  3.829866731287539E+05;  2.407701844536555E+01;  1.489180651659644E+01; -7.618857782822168E-01
 -1.382395886281168E+07; -1.947383420027462E+08;  3.827581071412712E+05;  2.407574331377275E+01;  1.489265382109133E+01; -7.618874714641724E-01
 -1.381673633109164E+07; -1.947338740795156E+08;  3.825295406460017E+05;  2.407446814741713E+01;  1.489350103477991E+01; -7.618891634947662E-01
 -1.380951418192670E+07; -1.947294059021345E+08;  3.823009736432731E+05;  2.407319294629746E+01;  1.489434815766390E+01; -7.618908543696223E-01
 -1.380229241532734E+07; -1.947249374706301E+08;  3.820724061334878E+05;  2.407191771041209E+01;  1.489519518974437E+01; -7.618925440842261E-01
 -1.379507103130394E+07; -1.947204687850297E+08;  3.818438381169587E+05;  2.407064243975906E+01;  1.489604213102172E+01; -7.618942326339004E-01
 -1.378785002986693E+07; -1.947159998453605E+08;  3.816152695940286E+05;  2.406936713433606E+01;  1.489688898149568E+01; -7.618959200138642E-01
 -1.378062941102681E+07; -1.947115306516499E+08;  3.813867005650401E+05;  2.406809179414053E+01;  1.489773574116525E+01; -7.618976062192031E-01
 -1.377340917479396E+07; -1.947070612039250E+08;  3.811581310304105E+05;  2.406681641916962E+01;  1.489858241002869E+01; -7.618992912449212E-01
 -1.376618932117879E+07; -1.947025915022129E+08;  3.809295609904230E+05;  2.406554100942029E+01;  1.489942898808353E+01; -7.619009750859451E-01
 -1.375896985019177E+07; -1.946981215465412E+08;  3.807009904454947E+05;  2.406426556488933E+01;  1.490027547532650E+01; -7.619026577371368E-01
 -1.375175076184335E+07; -1.946936513369368E+08;  3.804724193959087E+05;  2.406299008557333E+01;  1.490112187175360E+01; -7.619043391933369E-01
 -1.374453205614391E+07; -1.946891808734272E+08;  3.802438478420824E+05;  2.406171457146885E+01;  1.490196817736001E+01; -7.619060194493459E-01
 -1.373731373310390E+07; -1.946847101560395E+08;  3.800152757843733E+05;  2.406043902257232E+01;  1.490281439214015E+01; -7.619076984999760E-01
 -1.373009579273385E+07; -1.946802391848010E+08;  3.797867032230943E+05;  2.405916343888017E+01;  1.490366051608761E+01; -7.619093763400562E-01
 -1.372287823504409E+07; -1.946757679597389E+08;  3.795581301586926E+05;  2.405788782038885E+01;  1.490450654919524E+01; -7.619110529644590E-01
 -1.371566106004509E+07; -1.946712964808806E+08;  3.793295565914512E+05;  2.405661216709488E+01;  1.490535249145509E+01; -7.619127283681184E-01
 -1.370844426774731E+07; -1.946668247482531E+08;  3.791009825217873E+05;  2.405533647899487E+01;  1.490619834285843E+01; -7.619144025460498E-01
